,Title,Author,Price,Sales Rank,Genre/Theme,Published Month,Published Year
5966, A Fist for Joe Louis and Me,Trinka Hakes Noble,17.99,25800,Juvenile Fiction,Aug,2019
5967, This Is Christmas,Tom Booth,17.99,25807,Juvenile Fiction,Sep,2018
5968, The Itsy Bitsy Dreidel,Jeffrey Burton,5.99,25817,Juvenile Fiction,Sep,2017
5969, The Night Before Christmas,Clement C Moore,7.99,25836,Juvenile Fiction,Sep,2014
5970, Where Is Baby's Dreidel?: A Lift-the-Flap Book,Karen Katz,7.99,25848,Juvenile Fiction,Sep,2007
5971, Cool is Everywhere: New and Adaptive Design Across America,Michel Arnaud,35.0,25892,Travel,Jun,2020
5972, The Frolic of the Beasts,Yukio Mishima,15.0,25898,Fiction,Nov,2018
5973, Shoreless,Enid Shomer,15.95,25907,Poetry,Oct,2020
5974, How to Be a Girl in the World,Caela Carter,16.99,25914,Juvenile Fiction,Aug,2020
5975, Up the Mountain Path (Ages 5-8. picture book about friendship and the natural world),Marianne Dubuc,17.95,25921,Juvenile Fiction,Oct,2018
5976, Indoor Green: Living with Plants,Bree Claffey,29.95,25925,Photography,May,2020
5977, The Bad Side of Books: Selected Essays of D.H. Lawrence,D H Lawrence,19.95,25950,Travel,Nov,2019
5978, Aesop's Fables: The Classic Edition,Charles Santore,19.95,25962,Juvenile Fiction,Sep,2018
5979, Mellybean and the Giant Monster,Mike White,12.99,26015,Juvenile Fiction,Oct,2020
5980, Welcome to Camp! (Jurassic World: Camp Cretaceous),Steve Behling,5.99,26041,Juvenile Fiction,Sep,2020
5981, Dinosaur Days,Joyce Milton,4.99,26046,Juvenile Nonfiction,Jul,2014
5982, National Geographic Little Kids First Big Book of Things That Go,Karen de Seve,14.99,26076,Juvenile Nonfiction,Jul,2017
5983, Pinkalicious and the Amazing Sled Run,Victoria Kann,4.99,26077,Juvenile Fiction,Oct,2018
5984," Spirits of Latin America: A Celebration of Culture & Cocktails, with 100 Recipes from Leyenda & Beyond",Ivy Mix,24.99,26089,Travel,May,2020
5985, Beyond Black: A Novel,Hilary Mantel,19.0,26109,Fiction,Apr,2006
5986," Shinola Journal, HardLinen, Ruled, Blush (5.25x8.25)",Shinola,22.0,26131,Language Arts & Disciplines,Dec,2018
5987, African Safari Decomposition Book: Ruled,Michael Roger Press,10.0,26136,Reference,Feb,2014
5988, Press Out and Color: Unicorns,Crow Nosy,12.99,26140,Juvenile Fiction,Mar,2019
5989, Mina Stone: Cooking for Artists,Urs Fischer,40.0,26146,Cooking,Mar,2015
5990, In Praise of Disobedience: The Soul of Man Under Socialism and Other Writings,Oscar Wilde,19.95,26202,Philosophy,Nov,2020
5991, What to Watch When,Christian Blauvelt,30.0,26203,Performing Arts,Nov,2020
5992, Face to Face: The Photographs of Camilla McGrath,Camilla McGrath,75.0,26207,Photography,Oct,2020
5993, Gowanus: Brooklyn's Curious Canal,Joseph Alexiou,19.95,26219,Nature,Sep,2020
5994, Max's Box: Letting Go of Negative Feelings,Brian Wray,16.99,26252,Juvenile Fiction,Sep,2019
5995, Focused,Alyson Gerber,16.99,26261,Juvenile Fiction,Mar,2019
5996, The Roots of Rap: 16 Bars on the 4 Pillars of Hip-Hop,Carole Boston Weatherford,18.99,26267,Juvenile Nonfiction,Jan,2019
5997, The Silver Chair: Full Color Edition,C S Lewis,8.99,26337,Juvenile Fiction,Aug,2000
5998, Becoming Superman: My Journey From Poverty to Hollywood,J Michael Straczynski,18.99,26365,Biography & Autobiography,Jun,2020
5999, Born to Be Public,Greg Mania,26.95,26384,Humor,Aug,2020
6000, Glaciers,Alexis Smith,12.95,26397,Fiction,Jan,2012
6001, Robo-Sauce,Adam Rubin,18.99,26405,Juvenile Fiction,Oct,2015
6002, All the Acorns on the Forest Floor,Kim Hooper,27.99,26406,Fiction,Oct,2020
6003, Thomas and the Dinosaur (Thomas & Friends),Books Golden,4.99,26413,Juvenile Fiction,Jan,2015
6004," I Can Be Anything: (Guessing Game Book, Bedtime Book for Toddlers)",Shinsuke Yoshitake,15.99,26425,Juvenile Fiction,Apr,2020
6005, Happy Birthday to You! (Shimmer and Shine),Kristen L Depken,4.99,26436,Juvenile Fiction,Jan,2018
6006, New York: A Book of Colors,Ashley Evanson,7.99,26440,Juvenile Nonfiction,Oct,2015
6007, Lost Boys,Darcey Rosenblatt,7.99,26448,Juvenile Fiction,Aug,2018
6008, My Little Golden Book About Sharks,Bonnie Bader,4.99,26452,Juvenile Nonfiction,Jun,2016
6009, Lady and the Tramp (Disney Lady and the Tramp),Teddy Slater,4.99,26470,Juvenile Fiction,Dec,1993
6010, I Carry Your Heart with Me,E E Cummings,8.95,26477,Juvenile Fiction,Aug,2017
6011, Waste Not Everyday: Simple Zero-Waste Inspiration 365 Days a Year,Erin Rhoads,14.99,26535,Family & Relationships,Dec,2019
6012, Shadow School #1: Archimancy,J A White,16.99,26543,Juvenile Fiction,Aug,2019
6013, Truth or Lie: Sharks!,Erica S Perl,4.99,26548,Juvenile Nonfiction,May,2019
6014, Families Around the World,Margriet Ruurs,8.95,26577,Juvenile Nonfiction,Apr,2017
6015, The Cartel,Don Winslow,16.95,26583,Fiction,May,2016
6016, Danny and the Dinosaur and the New Puppy,Syd Hoff,4.99,26585,Juvenile Fiction,Sep,2015
6017, Arbitrary Stupid Goal,Tamara Shopsin,17.0,26632,History,Jul,2018
6018, The Magicians: The New Class,Lev Grossman,19.99,26639,Comics & Graphic Novels,Aug,2020
6019, Cars 3 Little Golden Book (Disney/Pixar Cars 3),Victoria Saxon,4.99,26641,Juvenile Fiction,May,2017
6020, Thus Were Their Faces: Selected Stories,Silvina Ocampo,17.95,26648,Fiction,Jan,2015
6021, American Wife: A Novel,Curtis Sittenfeld,18.0,26653,Fiction,Feb,2009
6022, Welcome to America,Linda Bostrom Knausgard,15.99,26659,Fiction,Sep,2019
6023, Albert Einstein: A Curious Mind,Sarah Albee,4.99,26670,Juvenile Nonfiction,Aug,2020
6024, Pity the Reader: On Writing With Style,Kurt Vonnegut,32.95,26686,Literary Collections,Nov,2019
6025, The Merriam-Webster Dictionary,Merriam-Webster Inc,14.95,26688,Reference,Jun,2019
6026, Juno Valentine and the Magical Shoes,Eva Chen,18.99,26715,Juvenile Fiction,Nov,2018
6027," How to Be Alone: If You Want To, and Even If You Don't",Lane Moore,16.0,26723,Humor,Nov,2018
6028, The Falcon (Marvel Avengers),Frank Berrios,4.99,26728,Juvenile Fiction,Jul,2020
6029, National Geographic Readers: Coral Reefs,Kristin Baird Rattini,4.99,26765,Juvenile Nonfiction,Jul,2015
6030, Baby Encyclopedia,Planeta DeAgostini,12.95,26783,Juvenile Nonfiction,Aug,2020
6031, Everyday People: The Color of Life--a Short Story Anthology,Jennifer Baker,17.0,26816,Fiction,Aug,2018
6032, Wild Winter Creatures! (Wild Kratts),Chris Kratt,4.99,26826,Juvenile Fiction,Sep,2017
6033, The Capital: A Novel,Robert Menasse,18.95,26892,Fiction,Apr,2020
6034, The Common Good,Robert B Reich,15.0,26896,Political Science,Jan,2019
6035," Edwina, the Dinosaur Who Didn't Know She Was Extinct",Mo Willems,17.99,26900,Juvenile Fiction,Sep,2006
6036, The Autobiography of Gucci Mane,Gucci Mane,16.0,26908,Music,Sep,2018
6037," Post-Punk Postcards: 50 Designs Inspired by Influential Albums, from New Order's Movement to The Smiths' The Queen Is Dead",Dorothy,18.99,26941,Design,Aug,2020
6038," Quitter: A Memoir of Drinking, Relapse, and Recovery",Erica C Barnett,26.0,26951,Self-Help,Jul,2020
6039, The Artifact Hunters,Janet Fox,17.99,26955,Juvenile Fiction,Aug,2020
6040, Traction: Get a Grip on Your Business,Gino Wickman,16.95,26967,Business & Economics,Apr,2012
6041, The Story of a Marriage: A Novel,Andrew Sean Greer,17.0,27012,Fiction,Mar,2009
6042, Good Offices,Evelio Rosero,13.95,27094,Fiction,Sep,2011
6043, Eating the Alphabet: Fruits & Vegetables from A to Z,Lois Ehlert,7.99,27114,Juvenile Fiction,Aug,1993
6044," I Love You, Mommy!",Edie Evans,4.99,27129,Juvenile Fiction,Dec,2019
6045, The Carrier Bag Theory of Fiction,Ursula K Le Guin,6.99,27137,Technology & Engineering,Feb,2020
6046, Here is the Sweet Hand: Poems,francine j harris,25.0,27139,Poetry,Aug,2020
6047, The Cipher,Kathe Koja,17.95,27142,Fiction,Sep,2020
6048, Brave Ballerina: The Story of Janet Collins,Michelle Meadows,17.99,27151,Juvenile Nonfiction,Jan,2019
6049, Sex Criminals Volume 1 TP,Matt Fraction,9.99,27152,Comics & Graphic Novels,Apr,2014
6050, The Spooky Cabin (PAW Patrol),House Random,4.99,27161,Juvenile Fiction,Jul,2017
6051, Klawde: Evil Alien Warlord Cat: Emperor of the Universe #5,Johnny Marciano,14.99,27169,Juvenile Fiction,Oct,2020
6052, The Last Libertines,Benedetta Craveri,39.95,27171,History,Oct,2020
6053, Maybe He Just Likes You,Barbara Dee,7.99,27182,Juvenile Fiction,Sep,2020
6054, The Captain and the Glory: An Entertainment,Dave Eggers,15.95,27202,Fiction,Nov,2019
6055, Juliet the Maniac: A Novel,Juliet Escoria,16.99,27216,Fiction,May,2019
6056, The Matchmaker's List,Sonya Lalli,15.0,27222,Fiction,Feb,2019
6057, Hit Makers: How to Succeed in an Age of Distraction,Derek Thompson,17.0,27243,Business & Economics,Feb,2018
6058, Bark: Stories,Lorrie Moore,15.0,27267,Fiction,Oct,2014
6059, Gran Cocina Latina: The Food Of Latin America,Maricel E Presilla,49.95,27276,Cooking,Oct,2012
6060, Explorer: The Mystery Boxes,Kazu Kibuishi,10.95,27280,Comics & Graphic Novels,Mar,2012
6061, Flags of the World,Sylvie Bednar,21.95,27287,Juvenile Nonfiction,Aug,2009
6062, White Oleander: A Novel,Janet Fitch,17.99,27303,Fiction,May,2000
6063, Fugitive Pieces: A Novel,Anne Michaels,16.95,27305,Fiction,May,1998
6064, Music for Chameleons,Truman Capote,16.0,27308,Literary Collections,Mar,1994
6065," Twisted Tongues: Jokes, Comics, Facts, and Tongue Twisters--All 100% Gross!",Kit Lively,8.95,27350,Juvenile Nonfiction,Sep,2020
6066, The Oracle Year: A Novel,Charles Soule,16.99,27367,Fiction,Apr,2019
6067, Lovingkindness: The Revolutionary Art of Happiness,Sharon Salzberg,12.95,27378,Self-Help,Jul,2018
6068, Aladdin (Disney Aladdin),Karen Kreider,4.99,27398,Juvenile Fiction,Jul,2015
6069, Position,Meg Wolitzer,16.0,27412,Fiction,Jun,2006
6070, An Extraordinary Egg,Leo Lionni,7.99,27417,Juvenile Fiction,Nov,1998
6071, Game Time! (Disney Wreck-It Ralph 2),Disney RH,5.99,27433,Juvenile Fiction,Oct,2018
6072, Most People,Michael Leannah,16.95,27441,Juvenile Fiction,Jul,2017
6073, Death Is Hard Work: A Novel,Khaled Khalifa,17.0,27489,Fiction,Dec,2019
6074, Space Struck,Paige Lewis,15.95,27492,Poetry,Oct,2019
6075, I Am a Pilot (Star Wars),Books Golden,4.99,27526,Juvenile Fiction,Jan,2016
6076, My Weird School #2: Mr. Klutz Is Nuts!,Dan Gutman,4.99,27553,Juvenile Fiction,Jun,2004
6077, Girl with a Pearl Earring,Tracy Chevalier,16.0,27557,Fiction,Jan,2001
6078, Rainbow Magic: Special Edition: Skyler the Fireworks Fairy,Daisy Meadows,6.99,27578,Juvenile Fiction,May,2016
6079, Snow White and the Seven Dwarfs (Disney Classic),Disney RH,4.99,27588,Juvenile Fiction,Sep,2003
6080, Lonely Planet Cities 1st Ed.,Lonely Planet Kids,8.99,27606,Juvenile Nonfiction,Jun,2020
6081, Evolution,Eileen Myles,16.0,27618,Poetry,Sep,2019
6082, Fast as the Flash! (DC Super Friends),Christy Webster,4.99,27638,Juvenile Fiction,Jan,2018
6083, My Parents Think I'm Sleeping,Jack Prelutsky,4.99,27678,Juvenile Fiction,Jan,2008
6084, Star Wars: A New Hope (Star Wars),Geof Smith,4.99,27705,Juvenile Fiction,Jul,2015
6085, Bye-Bye Binky: Big Kid Power,Maria van Lieshout,9.99,27716,Juvenile Fiction,Mar,2016
6086, The Summer Demands,Deborah Shapiro,16.95,27727,Fiction,Jun,2020
6087, Foods with Moods: A First Book of Feelings: A First Book of Feelings,Saxton Freymann,7.99,27755,Juvenile Fiction,Mar,2018
6088, The Saggy Baggy Elephant,Tennant Redbank,4.99,27775,Juvenile Fiction,Jan,2016
6089," Rah, Rah, Radishes!: A Vegetable Chant",April Pulley Sayre,7.99,27784,Juvenile Fiction,Jul,2014
6090, Minecraft: Exploded Builds: Medieval Fortress: An Official Mojang Book,Ab Mojang,11.99,27845,Computers,Nov,2019
6091, Lumberjanes Vol. 8: Stone Cold,Shannon Watters,14.99,27859,Juvenile Fiction,Feb,2018
6092, Baby Present,Rachel Neumann,9.95,27874,Juvenile Nonfiction,Jun,2016
6093, A to Z Mysteries: The Jaguar's Jewel,Ron Roy,5.99,27914,Juvenile Fiction,Feb,2000
6094, You Call This Democracy?: How to Fix Our Government and Deliver Power to the People,Elizabeth Rusch,9.99,27929,Juvenile Nonfiction,Mar,2020
6095, The New York Stories of Elizabeth Hardwick,Elizabeth Hardwick,15.95,27986,Literary Collections,Jun,2010
6096," Lonesome Days, Savage Nights",Steven Niles,19.99,28070,Comics & Graphic Novels,Nov,2020
6097, The Book Tour,Andi Watson,24.99,28075,Fiction,Nov,2020
6098, Stillicide,Cynan Jones,15.95,28081,Fiction,Nov,2020
6099," A Mary Oliver Collection: A Thousand Mornings, Dog Songs, Blue Horses, and Felicity",Mary Oliver,65.0,28128,Poetry,Nov,2020
6100, A New Beginning (Pokemon: Galar Chapter Book #1) (Media tie-in),Rebecca Shapiro,5.99,28130,Juvenile Fiction,Nov,2020
6101, Letters to a Young Poet: With the Letters from the Young Poet,Rainer Maria Rilke,17.95,28137,Literary Criticism,Nov,2020
6102, Always Add Lemon: Recipes You Want to Cook - Food You Want to Eat,Danielle Alvarez,35.0,28142,Cooking,Nov,2020
6103, Daphne Byrne (Hill House Comics),Laura Marks,24.99,28172,Comics & Graphic Novels,Nov,2020
6104, Working from Home with a Cat,Heidi Moreno,12.95,28175,Pets,Nov,2020
6105, Life-Size Animals: An Illustrated Safari,Rita Mabel Schiavo,19.99,28217,Science,Nov,2020
6106, Dune: House Atreides,Brian Herbert,18.0,28241,Fiction,Oct,2020
6107, Il Buco: Stories & Recipes,Donna Lennard,60.0,28260,Cooking,Oct,2020
6108, One of a Kind: A Story About Sorting and Classifying,Neil Packer,22.99,28314,Juvenile Nonfiction,Oct,2020
6109, The Guinevere Deception,Kiersten White,10.99,28320,Young Adult Fiction,Oct,2020
6110, The Politics of Friendship,Jacques Derrida,17.95,28323,Philosophy,Oct,2020
6111, Moiremotion,Takahiro Kurashima,28.0,28389,Art,Sep,2020
6112, Tiptoe Tiger (2020 edition): Baby's First Soft Book,Surya Sajnani,16.95,28408,Juvenile Nonfiction,Sep,2020
6113, Hummus to Halva: Recipes From a Levantine Kitchen,Ronen Givon,19.95,28463,Cooking,Sep,2020
6114, Taro Gomi's Play Anything Playing Cards,Taro Gomi,12.99,28502,Games,Sep,2020
6115, Strange Harvests: Giving and Taking from the Natural World,Edward Posnett,17.0,28574,Travel,Aug,2020
6116, God Emperor of Dune,Frank Herbert,18.0,28666,Fiction,Jul,2020
6117, dem,William Melvin Kelley,16.0,28699,Fiction,Jun,2020
6118, The Princess Beard: The Tales of Pell,Kevin Hearne,17.0,28702,Fiction,Jun,2020
6119, Montauk: A Novel,Nicola Harrison,16.99,28752,Fiction,Jun,2020
6120, The Fallen: A Novel,Carlos Manuel Alvarez,16.0,28757,Fiction,Jun,2020
6121, A Taste of Sage: A Novel,Yaffa S Santos,15.99,28797,Fiction,May,2020
6122, Itzhak: A Boy Who Loved the Violin,Tracy Newman,18.99,28809,Juvenile Nonfiction,May,2020
6123, Daughters of Smoke and Fire: A Novel,Ava Homa,26.0,28813,Fiction,May,2020
6124, Plenty of Hugs,Fran Manushkin,17.99,28880,Juvenile Fiction,Apr,2020
6125," The Life of William Faulkner: The Past Is Never Dead, 1897-1934",Carl Rollyson,34.95,28949,Biography & Autobiography,Mar,2020
6126, Hide and Seek City: Explore the City with a Magical Magnifiying Glass,Agathe Demois,17.95,28953,Juvenile Fiction,Mar,2020
6127," Go, Grandpa, Go!",Lynn Plourde,7.99,28976,Juvenile Fiction,Mar,2020
6128, An Ordinary Day,Elana K Arnold,17.99,28987,Juvenile Fiction,Mar,2020
6129, 44 poems for you,Sarah Ruhl,16.0,29015,Poetry,Feb,2020
6130, Snug: A Collection of Comics about Dating Your Best Friend,Catana Chetwynd,14.99,29064,Humor,Feb,2020
6131, Lonely Planet Pocket Chicago 4th Ed.,Lonely Planet,13.99,29102,Travel,Jan,2020
6132, Yayoi Kusama: All About My Love,Yayoi Kusama,35.0,29112,Art,Jan,2020
6133," Feel It Out: The Guide to Getting in Touch with Your Goals, Your Relationships, and Yourself",Jordan Sondler,22.5,29117,Family & Relationships,Jan,2020
6134, The Penguin Book Quiz: From The Very Hungry Caterpillar to Ulysses,James Walton,16.95,29200,Games & Activities,Nov,2019
6135, Heed the Hollow: Poems,Malcolm Tariq,16.0,29249,Poetry,Nov,2019
6136, All About Dinner: Expert Advice for Everyday Meals,Molly Stevens,40.0,29255,Cooking,Nov,2019
6137, The Philosophy of Wine,Ruth Ball,16.95,29265,Technology & Engineering,Nov,2019
6138," Wit's End: What Wit Is, How It Works, and Why We Need It",James Geary,14.95,29269,Humor,Oct,2019
6139, The Art of Film Projection: A Beginner's Guide,Paolo Cherchi Usai,29.95,29293,Performing Arts,Oct,2019
6140, A Theory of Birds: Poems,Zaina Alsous,16.95,29319,Poetry,Oct,2019
6141, Poems on Nature,Gaby Morgan,12.99,29333,Poetry,Oct,2019
6142, Poems for Happiness,Gaby Morgan,12.99,29341,Poetry,Oct,2019
6143, Sasha and Puck and the Potion of Luck,Daniel Nayeri,5.99,29358,Juvenile Fiction,Oct,2019
6144, High School,Sara Quin,27.0,29378,Music,Sep,2019
6145, El crossover (Crossover Spanish Edition),Kwame Alexander,7.99,29394,Juvenile Fiction,Sep,2019
6146, Capitalism: A Graphic Guide,Sharron Shatil,18.95,29395,Political Science,Sep,2019
6147," Lonely Planet Bali, Lombok & Nusa Tenggara 17th Ed.: 17th Edition",Lonely Planet,27.99,29567,Travel,Jul,2019
6148, Things to Do When You're Goth in the Country,Chavisa Woods,15.95,29581,Fiction,Jul,2019
6149, The Darwin Affair: A Novel,Tim Mason,27.95,29623,Fiction,Jun,2019
6150, Ballpark: Baseball in the American City,Paul Goldberger,35.0,29697,Architecture,May,2019
6151, Ash,Malinda Lo,10.99,29703,Young Adult Fiction,May,2019
6152, Daniel's Good Day,Micha Archer,16.99,29704,Juvenile Fiction,May,2019
6153, Lucky Per,Henrik Pontoppidan,28.0,29770,Fiction,Apr,2019
6154, The Artificial Man and Other Stories,Clare Winger Harris,14.95,29784,Fiction,Apr,2019
6155, I Used to Be Famous,Becky Cattie,16.99,29802,Juvenile Fiction,Apr,2019
6156, Flash and Filigree: A Novel,Terry Southern,16.0,29805,Fiction,Mar,2019
6157, The Year of Blue Water,Yanyi,20.0,29809,Poetry,Mar,2019
6158, Star Wars: The Empire Strikes Back So You Want to Be a Jedi?,Adam Gidwitz,8.99,29831,Juvenile Fiction,Mar,2019
6159," A Friend for Henry: (Books About Making Friends, Children's Friendship Books, Autism Awareness Books for Kids)",Jenn Bailey,16.99,29867,Juvenile Fiction,Feb,2019
6160, The Priory of the Orange Tree,Samantha Shannon,32.0,29870,Fiction,Feb,2019
6161, Natural Curiosities Greeting Assortment Notecards,Galison,16.99,29932,Activity Cards,Jan,2019
6162, The Elizas: A Novel,Sara Shepard,17.0,29942,Fiction,Jan,2019
6163, Dumbo Deluxe Step into Reading (Disney Dumbo),Christy Webster,5.99,29954,Juvenile Fiction,Jan,2019
6164, Lemon Pirates! (Top Wing),Mary Man-Kong,5.99,29955,Juvenile Fiction,Jan,2019
6165," Ruby, Head High: Ruby Bridge's First Day of School",Irene Cohen-Janca,18.99,29956,Juvenile Nonfiction,Jan,2019
6166, Join the Team! (Sunny Day),Courtney Carbone,4.99,29960,Juvenile Fiction,Jan,2019
6167, The Doctor Stories,William Carlos Williams,14.95,30146,Fiction,Sep,2018
6168, Me And My Fear,Francesca Sanna,17.95,30182,Juvenile Fiction,Sep,2018
6169, Lin-Manuel Miranda,Laurie Calkhoven,4.99,30225,Juvenile Nonfiction,Aug,2018
6170, The Burning Girl: A Novel,Claire Messud,15.95,30339,Fiction,Jun,2018
6171, I Am Helpful: The Positive Power Series,Suzy Capozzi,4.99,30369,Juvenile Nonfiction,May,2018
6172, Manners Matter!,Veronica Zysk,12.95,30377,Juvenile Nonfiction,May,2018
6173, Prince & Knight,Daniel Haack,17.99,30396,Juvenile Fiction,May,2018
6174, The Art of Being Normal: A Novel,Lisa Williamson,9.99,30433,Young Adult Fiction,Apr,2018
6175," Hourglass: Time, Memory, Marriage",Dani Shapiro,15.0,30452,Biography & Autobiography,Apr,2018
6176, The Right Intention,Andres Barba,15.95,30469,Fiction,Mar,2018
6177, Power Politics: Poems,Margaret Atwood,14.95,30497,Poetry,Mar,2018
6178," Goodnight, Mr. Clutterbuck",Mauri Kunnas,18.0,30607,Juvenile Fiction,Nov,2017
6179, America Vol. 1: The Life and Times of America Chavez,Gabby Rivera,17.99,30636,Comics & Graphic Novels,Oct,2017
6180, Franklin's Flying Bookshop,Jen Campbell,17.95,30661,Juvenile Fiction,Oct,2017
6181, Grover's Eight Nights of Light (Sesame Street),Jodie Shepherd,6.99,30709,Juvenile Fiction,Sep,2017
6182, The Wonder,Emma Donoghue,15.99,30739,Fiction,Sep,2017
6183, The Animators: A Novel,Kayla Rae Whitaker,17.0,30741,Fiction,Sep,2017
6184, The Uncorker of Ocean Bottles,Michelle Cuevas,17.99,31131,Juvenile Fiction,Aug,2016
6185, The Small Backs of Children: A Novel,Lidia Yuknavitch,14.99,31162,Fiction,Jul,2016
6186, The Airport Book,Lisa Brown,18.99,31235,Juvenile Fiction,May,2016
6187, Cherries,Stacy Adimando,14.0,31245,Cooking,May,2016
6188, The Dead Bird,Margaret Wise Brown,17.99,31308,Juvenile Fiction,Mar,2016
6189, The Night Gardener,Terry Fan,17.99,31317,Juvenile Fiction,Feb,2016
6190, Gateway to Freedom: The Hidden History of the Underground Railroad,Eric Foner,16.95,31327,Social Science,Feb,2016
6191, A Dragon's Guide to the Care and Feeding of Humans,Laurence Yep,6.99,31331,Juvenile Fiction,Feb,2016
6192, Delicious Foods: A Novel,James Hannaham,15.99,31343,Fiction,Jan,2016
6193," Step Aside, Pops: A Hark! A Vagrant Collection",Kate Beaton,19.95,31435,Comics & Graphic Novels,Sep,2015
6194, Richard Scarry's Smokey the Fireman,Richard Scarry,4.99,31496,Juvenile Fiction,Jul,2015
6195, DK Eyewitness Books: Universe: Marvel at the Beauty of the Universe from Our Solar System to Galaxies in the Fa,Dk,9.99,31608,Juvenile Nonfiction,Mar,2015
6196, The Mechanical,Ian Tregillis,17.0,31610,Fiction,Mar,2015
6197, My Body Is a Book of Rules,Elissa Washuta,16.95,31745,Fiction,Aug,2014
6198, Corn,Jessica Battilana,14.0,31773,Cooking,Jul,2014
6199, Brownie & Pearl Step Out,Cynthia Rylant,4.99,31810,Juvenile Fiction,May,2014
6200, Quesadillas: A Novel,Juan Pablo Villalobos,15.0,31861,Fiction,Feb,2014
6201, Teaching a Stone to Talk: Expeditions and Encounters,Annie Dillard,15.99,31926,Literary Criticism,Oct,2013
6202, Strawberries,Susan Spungen,14.0,31968,Cooking,Sep,2013
6203, Transit,Anna Seghers,16.95,32020,Fiction,May,2013
6204, Absolutely Normal Chaos,Sharon Creech,7.99,32173,Juvenile Fiction,Apr,2012
6205, National Geographic Readers: Wolves,Laura Marsh,4.99,32223,Juvenile Nonfiction,Jan,2012
6206, Elmo's Little Dreidel (Sesame Street),Naomi Kleinberg,5.99,32265,Juvenile Fiction,Sep,2011
6207, George and Martha: Round and Round Early Reader,James Marshall,4.99,32285,Juvenile Fiction,Aug,2011
6208, The Cost of Living: Early and Uncollected Stories,Mavis Gallant,16.95,32523,Literary Collections,Sep,2009
6209, Sea Change: Poems,Jorie Graham,14.99,32576,Poetry,Mar,2009
6210, The Liberal Imagination,Lionel Trilling,18.95,32612,Literary Criticism,Sep,2008
6211, Senselessness,Horacio Castellanos Moya,15.95,32658,Fiction,May,2008
6212, Belle & Sebastian's If You're Feeling Sinister,Scott Plagenhoef,14.95,32728,Music,Sep,2007
6213, The Assistant,Robert Walser,18.95,32752,Fiction,Jul,2007
6214, We,Yevgeny Zamyatin,17.0,32841,Fiction,Jul,2006
6215, The Merriam-Webster Thesaurus,Merriam-Webster Inc,6.5,32873,Reference,Feb,2006
6216, Ed Emberley's Big Green Drawing Book,Ed Emberley,12.99,32895,Juvenile Nonfiction,Oct,2005
6217, My First Menorah,Salina Yoon,7.99,32899,Juvenile Nonfiction,Oct,2005
6218, The Color of Magic: A Discworld Novel,Terry Pratchett,15.99,32906,Fiction,Sep,2005
6219," Junie B., First Grader: Shipwrecked: Illus. by Denise Brunkus",Barbara Park,4.99,32939,Juvenile Fiction,May,2005
6220, Where I Was From,Joan Didion,16.0,32980,History,Sep,2004
6221, Richard Scarry's A Day at the Police Station,Richard Scarry,4.99,33004,Juvenile Fiction,May,2004
6222, Daniel Deronda,George Eliot,11.0,33103,Fiction,Jul,2002
6223, Crash,Jerry Spinelli,6.99,33314,Young Adult Fiction,Mar,1997
6224, Patrimony: A True Story,Philip Roth,16.0,33330,Family & Relationships,Jun,1996
6225, The Caine Mutiny: A Novel of World War II,Herman Wouk,16.99,33417,Fiction,Apr,1992
6226, Selected Poems,Hilda Doolittle,16.95,33474,Poetry,Sep,1988
6227, Milton Glaser: Graphic Design: Graphic Design,Milton Glaser,45.0,33505,Design,Nov,1983
6228, Who's Afraid of Virginia Woolf?,Edward Albee,7.99,33508,Performing Arts,Mar,1983
6229, Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,Sarah Prager,17.99,33787,Juvenile Nonfiction,May,2020
6230, Ho'onani: Hula Warrior,Heather Gale,17.99,33800,Juvenile Fiction,Oct,2019
6231, Do Not Say We Have Nothing,Madeleine Thien,16.95,33803,Fiction,Oct,2017
6232, Believe Me: How Trusting Women Can Change the World,Jessica Valenti,28.0,33809,Social Science,Jan,2020
6233, The Faithful Spy: Dietrich Bonhoeffer and the Plot to Kill Hitler,John Hendrix,16.99,33820,Juvenile Nonfiction,Sep,2018
6234, Starring Carmen!,Anika Denise,16.95,33823,Juvenile Fiction,Sep,2017
6235, Ethan Frome,Edith Wharton,10.0,33883,Fiction,Jun,2012
6236, Odes to Common Things,Ken Krabbenhoft,26.0,33898,Poetry,May,1994
6237," Inclusive Conversations: Fostering Equity, Empathy, and Belonging across Differences",Mary-Frances Winters,19.95,33914,Social Science,Jul,2020
6238, Once More We Saw Stars: A Memoir of Life and Love After Unimaginable Loss,Jayson Greene,16.0,33921,Family & Relationships,May,2020
6239, Maker Comics: Draw a Comic!,JP Coovert,12.99,33935,Juvenile Nonfiction,Oct,2019
6240, Dear Sweet Pea,Julie Murphy,16.99,33940,Juvenile Fiction,Oct,2019
6241, The Last Cruise,Kate Christensen,16.95,33948,Fiction,Jun,2019
6242, INRI,Raul Zurita,16.0,33959,Poetry,Dec,2018
6243, A Little Bit of Auras: An Introduction to Energy Fields,Cassandra Eason,9.95,33971,"Body, Mind & Spirit",Mar,2018
6244, Marie Curie,Maria Isabel Sanchez Vegara,15.99,33979,Juvenile Nonfiction,Mar,2017
6245, The End of Days,Jenny Erpenbeck,15.95,33985,Fiction,Feb,2016
6246, Pnin,Vladimir Nabokov,15.95,34031,Fiction,Jun,1989
